Entidad,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV
Estado de México,315.340602,197.602214,169.623982,446.941421,505.265716,263.383972,187.91847,355.589555,273.722402,398.918426,1107.732882,575.497522,610.420154,134.209816,577.478632,612.90613,397.980493,500.0743347,116.937646,478.190101,1027.658685,760.3507,650.404433,1496.498748,863.847316,712.030223,330.427731,654.047789,875.176523,735.369405,213.075663,578.787133,948.760652,433.947605,82.207079,755.994383,1136.688138,616.404551,382.0480922,209.91608,531.029011,426.397621,83.613964,553.3387588,1130.354071,467.9795153,273.6481966,195.365196,1304.845562,439.87647,438.527226,539.1264608,1121.069205,1193.931334,442.4775652,337.560725,1158.029944,2667.767456,138.9285578,621.3921637,992.4715895,588.2570384,147.5057086,1700.051422,997.4633174,1205.586359,590.2260789,92.48382228,1075.923202,293.4426842,310.0032055,685.8044032,1164.899761,727.4694762,1413.655546,598.8510642
Guanajuato,65.915816,-9.524329,-38.5813,291.354056,200.384153,4.046805,21.662143,81.278686,114.604815,85.106106,392.096466,265.430425,156.76517,253.254209,192.906119,136.325366,68.805463,101.556882,312.31293,239.494253,384.263111,101.761455,41.690234,161.487002,404.485886,144.886018,35.748575,196.765811,357.013695,275.701916,-217.391399,181.14501,342.924366,224.735526,312.807113,211.52694,305.187014,236.92979,117.877093,91.790897,109.228242,61.953706,92.490511,245.059346,189.404002,98.719114,25.081476,88.282995,703.1247438,238.77855,419.276669,87.6047176,286.7965881,335.769083,394.38707,324.4764922,428.0301072,1446.682736,130.372324,629.8453047,555.6717249,482.3438145,27.058847,230.8969072,485.6498496,28.84272399,415.9750287,837.7923631,541.2868656,342.9163728,249.8763408,166.4226546,718.6629023,377.9067116,376.0065297,38.90352719
Guerrero,5.910496,15.536382,15.236854,-0.722322,18.687671,-8.511592,13.73449922,25.4948323,21.203845,19.565333,146.9640667,27.96170214,44.710531,50.189679,79.53806,127.410882,25.412199,18.916121,42.814151,71.958234,129.9584,18.354882,29.601354,40.363116,70.327191,22.00199,13.191085,131.485092,55.6818,23.385879,11.893276,70.994017,104.670472,25.001414,-38.557654,20.59745417,39.127579,58.682519,455.05514,21.557234,17.187058,68.09731,9.032711,41.150501,115.812898,34.735629,-7.220383,-3.666598,69.34074476,60.855648,46.274186,22.177513,65.65775994,32.683349,28.211994,36.108778,128.7992058,665.733281,35.021256,256.8007432,176.2709838,183.0073351,116.597661,2.60875422,73.32568929,56.32120567,19.70523702,18.03995231,80.0863291,13.93490004,25.2870128,57.29651521,45.02070789,161.221229,38.28691919,-13.03610795
Hidalgo,3.350406,4.03611,0.368874,-1.092517,6.161473,-103.195557,-10.43571,22.471868,27.807959,138.805929,141.184998,28.262402,39.865748,37.197612,49.768909,30.275192,33.316005,20.543118,-7.027391,51.425847,119.2364984,57.176985,4.466249,32.740122,58.330074,22.588805,8.908652,21.572013,124.241691,48.440369,-3.652345,25.35233,46.866931,18.402435,27.477789,-5.678968,55.326739,38.594272,10.646743,17.176317,25.255137,33.05415,8.758885,44.386952,72.018851,265.765796,22.046989,20.515295,161.4724646,45.743226,17.609316,66.46770321,34.22721528,20.776167,94.527796,28.595049,96.55909351,327.47458,-39.850224,89.78881,89.36713268,-152.7057958,-15.262254,1.44707933,230.6667124,70.87177467,12.06484126,214.6703933,124.4061407,55.83022747,81.23855296,173.1978356,92.04929688,120.1338325,54.28495717,90.57273343
Jalisco,198.524656,175.84641,148.476478,243.670776,237.654402,379.178368,259.067024,526.586241,253.177002,457.246245,753.613222,269.952461,200.381879,412.87164,249.007394,307.042899,260.213384,344.9586396,-45.011344,697.083065,737.346629,251.15533,141.399951,288.342241,264.020759,208.110964,145.377222,205.3377941,168.219837,467.749197,189.637998,161.042897,459.684375,246.36621,-5.303105,1134.777139,204.590093,384.34893,153.221779,292.713291,399.379998,410.080132,330.245857,-123.70264,407.1428411,782.811155,390.60813,669.2753604,227.3404448,401.011076,138.74391,301.9823279,625.6537064,286.4280274,268.9706956,237.435507,168.8409424,1800.726937,410.3830126,560.1000973,665.4238289,14.31420644,310.5799157,680.3246831,1184.426272,319.0413556,784.7263902,458.5183168,1443.684425,330.6586337,54.05082163,178.4302688,530.0580576,145.4656708,253.2296026,374.1371754
Michoacán de Ocampo,5.074039,3.703189,8.042793,8.632062,23.892914,-40.052199,-4.342907,48.833626,16.626005,21.201504,243.893887,37.318417,50.00946,23.271343,88.120964,43.186056,22.182557,32.816906,12.661149,67.099682,167.346779,82.56646,23.00311,95.090945,50.66288,88.51552,8.803838,100.015696,38.51677,48.929996,40.530838,-64.631068,80.569794,1534.443901,62.559721,183.337478,79.523149,51.770321,15.998362,39.919491,38.297286,56.072363,35.761454,26.347965,100.13574,54.12494,-8.716166,12.738075,20.29707905,82.005087,31.179779,20.995666,80.01285549,-15.346523,114.460278,155.601826,154.689877,588.177281,76.431864,1435.015842,120.8360615,-93.55084379,74.388983,92.16174985,153.2807165,65.55954957,49.24795867,161.2925176,113.5968343,-16.97121076,14.23728741,61.54329798,129.4584124,34.37899935,-14.87190768,106.5949919
Morelos,67.696808,28.570813,366.999025,-6.696098,156.197829,-8.931649,0.867774,4.469062,10.017809,8.276562,152.524203,80.68078,29.091491,5.444372,39.816936,118.117033,15.1178,29.50846,12.702951,38.788905,137.672557,28.822133,10.52297,290.835948,167.115524,27.223452,-17.361803,-0.69967,-13.968841,44.0631,-33.426605,177.279671,352.206628,9.406658,11.332113,20.552616,285.774477,-39.42997,9.912555,28.535793,133.030456,43.686628,9.423712,-64.443257,133.233602,5.60178,12.42007,48.123784,133.3043401,9.66011,2.663273,-17.93626112,127.9144273,49.784271,52.114186,43.012204,164.3241707,296.401552,51.075757,97.69938034,213.0976711,55.57992986,34.816643,9.22985092,213.5417228,77.65702551,117.3259056,43.96145867,124.3225682,13.08389315,23.57238495,27.30915566,182.9848746,152.4880687,-14.64873971,46.03946317
Nayarit,14.782805,8.265775,2.148148,14.834049,0.355005,2.590513,4.190663,47.82242181,9.150722,12.863466,63.284112,29.238771,21.857609,20.542339,50.422472,12.085323,22.678772,36.906758,29.457534,57.397642,80.482681,12.251184,30.507333,39.38713,31.881535,44.760047,36.925668,31.19701062,42.016538,42.263583,89.51876657,76.587264,58.100147,44.684906,81.006697,61.577044,29.225523,57.775874,9.195667,53.76398,12.350107,31.258015,32.534449,24.984745,80.303944,36.918464,22.741128,37.530002,51.84728464,36.854276,26.931601,26.786404,25.50412782,53.019669,16.524302,68.385959,41.10683036,188.113719,261.626985,44.704297,57.67973395,20.84673821,6.850314,29.45504312,38.90395437,21.83581316,21.35992666,18.07551484,33.46895629,11.66230842,11.18434041,30.72987849,51.31434195,24.04674393,37.39103837,25.47873993
Nuevo León,859.248188,545.764504,56.196972,306.456309,413.605098,419.583922,384.4804628,1064.560905,545.818679,777.113474,1016.324371,766.237584,562.815047,739.978207,727.35052,551.682651,443.460551,949.6486525,451.900949,485.035154,404.583072,342.581841,143.127282,513.599763,395.536934,1066.412728,2159.639898,1213.646542,304.734987,799.339283,205.214583,413.40564,834.621248,418.685587,1841.755581,498.139329,363.8034242,464.105131,371.129718,468.191277,694.3133905,213.051381,148.492772,-15.928826,563.90221,3350.05817,140.711814,756.988809,531.7331491,401.87734,240.077088,686.4201475,497.6451836,434.2734879,354.1611544,41.85979322,478.3861123,662.405181,-182.0920154,1365.080716,779.0306195,448.3433447,-150.7568584,575.8941106,1257.730553,432.474633,1119.023971,480.3380642,1196.406701,846.5504815,442.4201988,380.1641193,964.4641003,69.40434003,255.1652314,586.0727766
Oaxaca,11.305421,1.764382,8.857265,24.975931,1.701614,-24.404545,3.285077,36.108491,7.057397,-29.332627,138.163829,28.457672,51.127309,17.26441,53.743503,25.584886,16.086303,38.554338,5.46076,51.405318,59.241826,42.425837,14.197375,28.77811,28.599374,74.419329,8.97647,14.593011,28.013692,58.065031,5.304091,18.934322,53.337514,66.166156,16.703988,36.505178,44.453929,82.382908,66.579235,7.307945,47.058135,104.523254,38.877226,45.429177,63.248175,29.383807,18.917674,6.028229,15.80044738,68.46911,41.127568,52.744646,44.46385062,164.374994,133.632216,11.174193,373.9644758,1371.162964,-10.513373,207.424486,206.4306242,308.8070482,-26.847101,-5.635276,-132.3051579,154.4515184,78.02533748,192.5494919,40.16011325,104.6458919,3.42024353,44.0342051,161.4867827,11.7503157,80.48661391,102.4239777
